estYr	sum	running_total	er_maj	Type	Diff	PercInc
1974	6885	1258221.6	1	core	6885	0.005472009
1975	6583.68	1264805.28	1	core	6583.68	0.005205291
1976	1982.88	1266788.16	1	core	1982.88	0.001565281
1977	547.56	1267335.72	1	core	547.56	0.000432056
1978	110.16	1267445.88	1	core	110.16	8.6915E-05
1979	9.72	1267455.6	1	core	9.72	7.66891E-06
1980	654.48	1268110.08	1	core	654.48	0.000516107
1984	152.28	1268262.36	1	core	152.28	0.00012007
1985	9.72	1268272.08	1	core	9.72	7.66397E-06
1986	330.48	1268602.56	1	core	330.48	0.000260507
1988	100.44	1268703	1	core	100.44	7.91675E-05
1989	29.16	1268732.16	1	core	29.16	2.29836E-05
1990	473.04	1269205.2	1	core	473.04	0.000372706
1991	317.52	1269522.72	1	core	317.52	0.00025011
1992	1487.16	1271009.88	1	core	1487.16	0.001170062
1993	6635.52	1277645.4	1	core	6635.52	0.005193554
1994	576.72	1278222.12	1	core	576.72	0.000451189
1995	249.48	1278471.6	1	core	249.48	0.000195139
1996	6441.12	1284912.72	1	core	6441.12	0.005012885
1997	4374	1289286.72	1	core	4374	0.003392574
1998	14667.48	1303954.2	1	core	14667.48	0.011248463
1999	2394.36	1306348.56	1	core	2394.36	0.001832865
2000	5151.6	1311500.16	1	core	5151.6	0.003928021
2001	2290.68	1313790.84	1	core	2290.68	0.001743565
2002	298.08	1314088.92	1	core	298.08	0.000226834
2003	1911.6	1316000.52	1	core	1911.6	0.001452583
2004	2452.68	1318453.2	1	core	2452.68	0.001860271
2005	5320.08	1323773.28	1	core	5320.08	0.004018875
2006	1240.92	1325014.2	1	core	1240.92	0.000936533
2007	946.08	1325960.28	1	core	946.08	0.000713506
2008	1863	1327823.28	1	core	1863	0.001403048
2009	1065.96	1328889.24	1	core	1065.96	0.000802144
2010	554.04	1329443.28	1	core	554.04	0.000416746
2011	385.56	1329828.84	1	core	385.56	0.000289932
2012	615.6	1330444.44	1	core	615.6	0.000462703
2013	579.96	1331024.4	1	core	579.96	0.000435725
2014	136.08	1331160.48	1	core	136.08	0.000102227
2015	81	1331241.48	1	core	81	6.08455E-05
